SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,5,DSR,27
1,0,0,5,DSR,27
2,0,0,5,DSR,27
3,0,0,5,DSR,27
4,0,0,5,DSR,27
5,952,119,5,DSR,27
6,912,114,5,DSR,27
7,704,88,5,DSR,27
8,2472,309,5,DSR,27
9,2616,327,5,DSR,27
10,3120,390,5,DSR,27
11,2448,306,5,DSR,27
12,3360,420,5,DSR,27
13,3488,436,5,DSR,27
14,2352,294,5,DSR,27
15,1520,190,5,DSR,27
16,1920,240,5,DSR,27
17,2360,295,5,DSR,27
18,592,74,5,DSR,27
19,2136,267,5,DSR,27
20,3000,375,5,DSR,27
21,2496,312,5,DSR,27
22,2776,347,5,DSR,27
23,2304,288,5,DSR,27
24,2224,278,5,DSR,27
25,1160,145,5,DSR,27
26,1632,204,5,DSR,27
27,1800,225,5,DSR,27
28,1048,131,5,DSR,27
29,1224,153,5,DSR,27
30,1408,176,5,DSR,27
31,1808,226,5,DSR,27
32,1080,135,5,DSR,27
33,1656,207,5,DSR,27
34,464,58,5,DSR,27
35,1096,137,5,DSR,27
36,1496,187,5,DSR,27
37,2240,280,5,DSR,27
38,2512,314,5,DSR,27
39,1752,219,5,DSR,27
40,1800,225,5,DSR,27
41,2336,292,5,DSR,27
42,1104,138,5,DSR,27
43,1744,218,5,DSR,27
44,440,55,5,DSR,27
45,760,95,5,DSR,27
46,832,104,5,DSR,27
47,1328,166,5,DSR,27
48,1312,164,5,DSR,27
49,832,104,5,DSR,27
50,320,40,5,DSR,27
51,1296,162,5,DSR,27
52,1768,221,5,DSR,27
53,2672,334,5,DSR,27
54,1584,198,5,DSR,27
55,2024,253,5,DSR,27
56,2640,330,5,DSR,27
57,2920,365,5,DSR,27
58,3096,387,5,DSR,27
59,3040,380,5,DSR,27
