SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,7,AODV,27
1,3576,447,7,AODV,27
2,3896,487,7,AODV,27
3,4224,528,7,AODV,27
4,4096,512,7,AODV,27
5,4624,578,7,AODV,27
6,4872,609,7,AODV,27
7,5120,640,7,AODV,27
8,4008,501,7,AODV,27
9,4624,578,7,AODV,27
10,5080,635,7,AODV,27
11,4224,528,7,AODV,27
12,3536,442,7,AODV,27
13,3560,445,7,AODV,27
14,3576,447,7,AODV,27
15,3464,433,7,AODV,27
16,3280,410,7,AODV,27
17,2704,338,7,AODV,27
18,4032,504,7,AODV,27
19,2848,356,7,AODV,27
20,4432,554,7,AODV,27
21,2288,286,7,AODV,27
22,4088,511,7,AODV,27
23,5128,641,7,AODV,27
24,5112,639,7,AODV,27
25,4944,618,7,AODV,27
26,3832,479,7,AODV,27
27,3464,433,7,AODV,27
28,3032,379,7,AODV,27
29,2808,351,7,AODV,27
30,4200,525,7,AODV,27
31,4384,548,7,AODV,27
32,5208,651,7,AODV,27
33,4704,588,7,AODV,27
34,3072,384,7,AODV,27
35,3368,421,7,AODV,27
36,4416,552,7,AODV,27
37,3872,484,7,AODV,27
38,3448,431,7,AODV,27
39,3272,409,7,AODV,27
40,3360,420,7,AODV,27
41,4456,557,7,AODV,27
42,3336,417,7,AODV,27
43,3800,475,7,AODV,27
44,3048,381,7,AODV,27
45,2920,365,7,AODV,27
46,3056,382,7,AODV,27
47,2240,280,7,AODV,27
48,3240,405,7,AODV,27
49,3824,478,7,AODV,27
50,2712,339,7,AODV,27
51,2880,360,7,AODV,27
52,1544,193,7,AODV,27
53,4192,524,7,AODV,27
54,4072,509,7,AODV,27
55,3472,434,7,AODV,27
56,3696,462,7,AODV,27
57,4096,512,7,AODV,27
58,3320,415,7,AODV,27
59,3520,440,7,AODV,27
