SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,12,OLSR,27
1,0,0,12,OLSR,27
2,0,0,12,OLSR,27
3,3088,386,12,OLSR,27
4,3624,453,12,OLSR,27
5,3000,375,12,OLSR,27
6,2792,349,12,OLSR,27
7,1360,170,12,OLSR,27
8,3008,376,12,OLSR,27
9,2096,262,12,OLSR,27
10,1992,249,12,OLSR,27
11,1544,193,12,OLSR,27
12,3928,491,12,OLSR,27
13,3488,436,12,OLSR,27
14,4280,535,12,OLSR,27
15,5080,635,12,OLSR,27
16,4552,569,12,OLSR,27
17,4072,509,12,OLSR,27
18,4128,516,12,OLSR,27
19,2440,305,12,OLSR,27
20,4272,534,12,OLSR,27
21,2288,286,12,OLSR,27
22,2592,324,12,OLSR,27
23,3464,433,12,OLSR,27
24,3192,399,12,OLSR,27
25,1688,211,12,OLSR,27
26,2184,273,12,OLSR,27
27,2232,279,12,OLSR,27
28,3824,478,12,OLSR,27
29,2944,368,12,OLSR,27
30,3432,429,12,OLSR,27
31,3288,411,12,OLSR,27
32,4136,517,12,OLSR,27
33,1576,197,12,OLSR,27
34,2176,272,12,OLSR,27
35,2888,361,12,OLSR,27
36,3016,377,12,OLSR,27
37,3176,397,12,OLSR,27
38,2064,258,12,OLSR,27
39,2840,355,12,OLSR,27
40,4592,574,12,OLSR,27
41,3184,398,12,OLSR,27
42,4800,600,12,OLSR,27
43,3512,439,12,OLSR,27
44,3184,398,12,OLSR,27
45,3024,378,12,OLSR,27
46,2056,257,12,OLSR,27
47,2936,367,12,OLSR,27
48,1984,248,12,OLSR,27
49,2160,270,12,OLSR,27
50,2520,315,12,OLSR,27
51,2960,370,12,OLSR,27
52,3224,403,12,OLSR,27
53,2080,260,12,OLSR,27
54,4792,599,12,OLSR,27
55,3664,458,12,OLSR,27
56,4904,613,12,OLSR,27
57,4192,524,12,OLSR,27
58,2656,332,12,OLSR,27
59,960,120,12,OLSR,27
