SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,5,DSR,27
1,0,0,5,DSR,27
2,0,0,5,DSR,27
3,0,0,5,DSR,27
4,0,0,5,DSR,27
5,0,0,5,DSR,27
6,0,0,5,DSR,27
7,0,0,5,DSR,27
8,0,0,5,DSR,27
9,0,0,5,DSR,27
10,0,0,5,DSR,27
11,0,0,5,DSR,27
12,0,0,5,DSR,27
13,0,0,5,DSR,27
14,0,0,5,DSR,27
15,0,0,5,DSR,27
16,0,0,5,DSR,27
17,0,0,5,DSR,27
18,0,0,5,DSR,27
19,0,0,5,DSR,27
20,0,0,5,DSR,27
21,0,0,5,DSR,27
22,0,0,5,DSR,27
23,0,0,5,DSR,27
24,0,0,5,DSR,27
25,0,0,5,DSR,27
26,0,0,5,DSR,27
27,0,0,5,DSR,27
28,0,0,5,DSR,27
29,0,0,5,DSR,27
30,0,0,5,DSR,27
31,0,0,5,DSR,27
32,0,0,5,DSR,27
33,0,0,5,DSR,27
34,0,0,5,DSR,27
35,0,0,5,DSR,27
36,0,0,5,DSR,27
37,0,0,5,DSR,27
38,0,0,5,DSR,27
39,0,0,5,DSR,27
40,0,0,5,DSR,27
41,0,0,5,DSR,27
42,0,0,5,DSR,27
43,0,0,5,DSR,27
44,0,0,5,DSR,27
45,0,0,5,DSR,27
46,0,0,5,DSR,27
47,0,0,5,DSR,27
48,0,0,5,DSR,27
49,0,0,5,DSR,27
50,0,0,5,DSR,27
51,0,0,5,DSR,27
52,0,0,5,DSR,27
53,0,0,5,DSR,27
54,0,0,5,DSR,27
55,0,0,5,DSR,27
56,0,0,5,DSR,27
57,0,0,5,DSR,27
58,0,0,5,DSR,27
59,0,0,5,DSR,27
