SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,10,AODV,27
1,2904,363,10,AODV,27
2,2488,311,10,AODV,27
3,2472,309,10,AODV,27
4,1520,190,10,AODV,27
5,3576,447,10,AODV,27
6,3736,467,10,AODV,27
7,4016,502,10,AODV,27
8,3936,492,10,AODV,27
9,3120,390,10,AODV,27
10,2936,367,10,AODV,27
11,3488,436,10,AODV,27
12,1624,203,10,AODV,27
13,1560,195,10,AODV,27
14,1952,244,10,AODV,27
15,1576,197,10,AODV,27
16,1176,147,10,AODV,27
17,2264,283,10,AODV,27
18,2384,298,10,AODV,27
19,2184,273,10,AODV,27
20,1904,238,10,AODV,27
21,3272,409,10,AODV,27
22,2984,373,10,AODV,27
23,2704,338,10,AODV,27
24,3752,469,10,AODV,27
25,3936,492,10,AODV,27
26,3192,399,10,AODV,27
27,3496,437,10,AODV,27
28,4064,508,10,AODV,27
29,2216,277,10,AODV,27
30,2976,372,10,AODV,27
31,2208,276,10,AODV,27
32,2552,319,10,AODV,27
33,2792,349,10,AODV,27
34,3120,390,10,AODV,27
35,3784,473,10,AODV,27
36,3872,484,10,AODV,27
37,2664,333,10,AODV,27
38,3272,409,10,AODV,27
39,2960,370,10,AODV,27
40,2248,281,10,AODV,27
41,3096,387,10,AODV,27
42,2616,327,10,AODV,27
43,3144,393,10,AODV,27
44,3680,460,10,AODV,27
45,3760,470,10,AODV,27
46,3712,464,10,AODV,27
47,2064,258,10,AODV,27
48,2616,327,10,AODV,27
49,2728,341,10,AODV,27
50,2608,326,10,AODV,27
51,2752,344,10,AODV,27
52,4104,513,10,AODV,27
53,3408,426,10,AODV,27
54,3952,494,10,AODV,27
55,3440,430,10,AODV,27
56,2696,337,10,AODV,27
57,3648,456,10,AODV,27
58,3496,437,10,AODV,27
59,4096,512,10,AODV,27
