SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,10,OLSR,27
1,0,0,10,OLSR,27
2,0,0,10,OLSR,27
3,2344,293,10,OLSR,27
4,3000,375,10,OLSR,27
5,2888,361,10,OLSR,27
6,2816,352,10,OLSR,27
7,2256,282,10,OLSR,27
8,2464,308,10,OLSR,27
9,2440,305,10,OLSR,27
10,2472,309,10,OLSR,27
11,2392,299,10,OLSR,27
12,2064,258,10,OLSR,27
13,1648,206,10,OLSR,27
14,2096,262,10,OLSR,27
15,1952,244,10,OLSR,27
16,2304,288,10,OLSR,27
17,3096,387,10,OLSR,27
18,2760,345,10,OLSR,27
19,2880,360,10,OLSR,27
20,3208,401,10,OLSR,27
21,2912,364,10,OLSR,27
22,1888,236,10,OLSR,27
23,2568,321,10,OLSR,27
24,3144,393,10,OLSR,27
25,2696,337,10,OLSR,27
26,2496,312,10,OLSR,27
27,2704,338,10,OLSR,27
28,3544,443,10,OLSR,27
29,2800,350,10,OLSR,27
30,2912,364,10,OLSR,27
31,2984,373,10,OLSR,27
32,3472,434,10,OLSR,27
33,2960,370,10,OLSR,27
34,2184,273,10,OLSR,27
35,1368,171,10,OLSR,27
36,2520,315,10,OLSR,27
37,2776,347,10,OLSR,27
38,3360,420,10,OLSR,27
39,3120,390,10,OLSR,27
40,3552,444,10,OLSR,27
41,3792,474,10,OLSR,27
42,3504,438,10,OLSR,27
43,3784,473,10,OLSR,27
44,3112,389,10,OLSR,27
45,2480,310,10,OLSR,27
46,1224,153,10,OLSR,27
47,1184,148,10,OLSR,27
48,2224,278,10,OLSR,27
49,2920,365,10,OLSR,27
50,2448,306,10,OLSR,27
51,2664,333,10,OLSR,27
52,3072,384,10,OLSR,27
53,3504,438,10,OLSR,27
54,5048,631,10,OLSR,27
55,4104,513,10,OLSR,27
56,4368,546,10,OLSR,27
57,3312,414,10,OLSR,27
58,4408,551,10,OLSR,27
59,3912,489,10,OLSR,27
